1;COMPETENCIA PARA  IDENTIFICAR,  FORMULAR   Y  RESOLVER PROBLEMAS DE INGENIERÍA
2;COMPETENCIA PARA CONCEBIR, DISEÑAR Y DESARROLLAR PROYECTOS DE INGENIERÍA  (SISTEMAS, COMPONENTES, PRODUCTOS O PROCESOS)
3;COMPETENCIA PARA GESTIONAR PLANIFICAR, EJECUTAR Y CONTROLAR PROYECTOS DE INGENIERÍA  (SISTEMAS, COMPONENTES, PRODUCTOS O PROCESOS)
4;COMPETENCIA PARA  UTILIZAR DE  MANERA  EFECTIVA   LAS TÉCNICAS Y HERRAMIENTAS DE APLICACIÓN  EN LA INGENIERÍA
5;COMPETENCIA PARA CONTRIBUIR  A LA GENERACIÓN DE DESARROLLOS TECNOLÓGICOS Y/O INNOVACIONES TECNOLÓGICAS
6;COMPETENCIA PARA DESEMPEÑARSE DE MANERA  EFECTIVA EN EQUIPOS DE TRABAJO
7;COMPETENCIA PARA COMUNICARSE CON EFECTIVIDAD
8;COMPETENCIA PARA ACTUAR  CON  ÉTICA, RESPONSABILIDAD PROFESIONAL Y COMPROMISO  SOCIAL, CONSIDERANDO EL IMPACTO ECONÓMICO, SOCIAL Y AMBIENTAL  DE SU ACTIVIDAD EN EL CONTEXTO LOCAL Y GLOBAL
9;COMPETENCIA PARA  APRENDER  EN FORMA  CONTINUA   Y AUTÓNOMA
10;COMPETENCIA PARA ACTUAR CON  ESPÍRITU EMPRENDEDOR

